game_id,home_team,win
3927,OAK,1
3928,PHI,0
3929,SD,0
3930,GB,1
3931,STL,0
3932,ATL,0
3933,BUF,1
3934,CLE,0
3935,DET,1
3936,IND,1
3937,KC,1
3938,NE,1
3939,NYG,1
3940,CAR,1
3941,BAL,1
3942,TEN,0
3943,SD,0
3944,SEA,1
3945,PHI,0
3946,CHI,0
3947,JAC,1
3948,SF,0
3949,WAS,1
3950,CHI,0
3951,MIA,1
3952,NO,0
3953,NYJ,0
3954,PIT,1
3955,TB,0
3956,CAR,1
3957,HOU,1
3958,STL,0
3959,DAL,1
3960,OAK,1
3961,ARI,0
3962,CIN,1
3963,ATL,0
3964,GB,1
3965,TEN,0
3966,KC,1
3967,MIA,0
3968,MIN,1
3969,NE,0
3970,NYG,0
3971,TB,0
3972,WAS,0
3973,BAL,1
3974,HOU,1
3975,DEN,1
3976,SF,1
3977,SEA,1
3978,PIT,1
3979,CAR,1
3980,PIT,0
3981,IND,1
3982,DAL,1
3983,NE,1
3984,SEA,1
3985,GB,1
3986,DEN,0
3987,SEA,1
3988,NE,1
3989,SEA,0
3990,NE,1
3991,CHI,0
3992,HOU,0
3993,NYJ,1
3994,BUF,1
3995,WAS,0
3996,JAC,0
3997,STL,1
3998,ARI,1
3999,SD,1
4000,TB,0
4001,OAK,0
4002,DEN,1
4003,DAL,1
4004,ATL,1
4005,SF,1
4006,KC,0
4007,CAR,1
4008,PIT,1
4009,NO,0
4010,MIN,1
4011,CHI,0
4012,BUF,0
4013,CIN,1
4014,CLE,1
4015,NYG,0
4016,WAS,1
4017,JAC,1
4018,OAK,1
4019,PHI,0
4020,GB,1
4021,IND,0
4022,NYG,1
4023,DAL,0
4024,TEN,0
4025,CLE,0
4026,BAL,0
4027,NE,1
4028,CAR,1
4029,NYJ,0
4030,HOU,1
4031,MIN,1
4032,STL,0
4033,ARI,1
4034,MIA,0
4035,SEA,1
4036,DET,0
4037,GB,1
4038,PIT,0
4039,MIA,0
4040,IND,1
4041,BUF,0
4042,TB,0
4043,WAS,1
4044,CHI,1
4045,ATL,1
4046,CIN,1
4047,SD,1
4048,SF,0
4049,ARI,0
4050,DEN,1
4051,NO,1
4052,SEA,1
4053,HOU,0
4054,KC,0
4055,CIN,1
4056,ATL,1
4057,TB,1
4058,PHI,1
4059,BAL,0
4060,GB,1
4061,TEN,0
4062,DET,0
4063,DAL,0
4064,OAK,0
4065,NYG,1
4066,SD,0
4067,NO,1
4068,NYJ,1
4069,PIT,1
4070,MIN,1
4071,BUF,0
4072,DET,1
4073,CLE,0
4074,JAC,0
4075,TEN,0
4076,SEA,0
4077,GB,1
4078,SF,1
4079,IND,0
4080,PHI,1
4081,SF,0
4082,JAC,1
4083,WAS,1
4084,TEN,0
4085,IND,0
4086,DET,0
4087,KC,1
4088,STL,1
4089,MIA,1
4090,NE,1
4091,SD,0
4092,NYG,1
4093,CAR,1
4094,ARI,1
4095,NE,1
4096,KC,1
4097,ATL,0
4098,CLE,0
4099,STL,1
4100,NO,1
4101,CHI,0
4102,BAL,1
4103,PIT,0
