game_id,team,average_starting_field_position,season
3675,CAR,35.7778,2013
3675,NYJ,20.3000,2013
3676,KC,48.8462,2013
3676,OAK,19.6923,2013
3677,DAL,26.7500,2013
3677,GB,30.4615,2013
3678,CIN,24.6364,2013
3678,PIT,42.3000,2013
3679,BAL,28.8333,2013
3679,DET,22.5455,2013
3680,CIN,33.0000,2013
3680,MIN,34.4615,2013
3681,BUF,28.7857,2013
3681,MIA,26.1538,2013
3682,IND,29.2500,2013
3682,KC,25.4545,2013
3683,CLE,34.8889,2013
3683,NYJ,23.5000,2013
3684,DEN,29.0714,2013
3684,HOU,25.6429,2013
3685,JAC,29.0000,2013
3685,TEN,26.4545,2013
3686,DAL,27.5455,2013
3686,WAS,35.9000,2013
3687,CAR,28.5385,2013
3687,NO,24.0000,2013
3688,STL,41.7000,2013
3688,TB,21.6364,2013
3689,DET,25.7143,2013
3689,NYG,28.0000,2013
3690,ARI,31.8667,2013
3690,SEA,31.0769,2013
3691,GB,36.6154,2013
3691,PIT,34.2500,2013
3692,OAK,29.1000,2013
3692,SD,31.3636,2013
3693,BAL,22.0000,2013
3693,NE,35.3077,2013
3694,CHI,20.1818,2013
3694,PHI,32.1818,2013
3695,ATL,28.6364,2013
3695,SF,21.6250,2013
3696,ATL,22.4167,2013
3696,CAR,23.0000,2013
3697,MIA,21.6364,2013
3697,NYJ,30.0000,2013
3698,BAL,29.9286,2013
3698,CIN,29.5714,2013
3699,CLE,27.7273,2013
3699,PIT,36.5000,2013
3700,IND,33.5833,2013
3700,JAC,19.0909,2013
3701,HOU,17.5455,2013
3701,TEN,32.7500,2013
3702,DET,24.5455,2013
3702,MIN,27.0000,2013
3703,NYG,35.2941,2013
3703,WAS,29.5294,2013
3704,CHI,31.7000,2013
3704,GB,30.2000,2013
3705,BUF,22.4545,2013
3705,NE,40.6667,2013
3706,NO,31.2500,2013
3706,TB,27.0000,2013
3707,SEA,30.5455,2013
3707,STL,22.2500,2013
3708,DEN,33.3636,2013
3708,OAK,24.6364,2013
3709,KC,30.5833,2013
3709,SD,23.8333,2013
3710,ARI,17.9231,2013
3710,SF,37.6154,2013
3711,DAL,29.5833,2013
3711,PHI,28.7692,2013
3712,IND,25.8462,2013
3712,KC,36.4615,2013
3713,NO,30.3636,2013
3713,PHI,33.5000,2013
3714,CIN,27.9167,2013
3714,SD,34.2727,2013
3715,GB,27.0000,2013
3715,SF,32.5556,2013
3716,NO,26.0769,2013
3716,SEA,33.2727,2013
3717,IND,22.1429,2013
3717,NE,32.3571,2013
3718,CAR,30.5000,2013
3718,SF,22.1250,2013
3719,DEN,33.8750,2013
3719,SD,26.7778,2013
3720,DEN,24.1250,2013
3720,NE,20.0000,2013
3721,SEA,37.0000,2013
3721,SF,24.2727,2013
3722,DEN,24.9091,2013
3722,SEA,40.6667,2013
3723,GB,22.1000,2014
3723,SEA,34.3000,2014
3724,ATL,21.7273,2014
3724,NO,23.4000,2014
3725,BUF,32.9167,2014
3725,CHI,19.3333,2014
3726,KC,21.0833,2014
3726,TEN,31.1538,2014
3727,MIN,26.5455,2014
3727,STL,21.8333,2014
3728,MIA,36.3571,2014
3728,NE,28.0769,2014
3729,NYJ,31.2500,2014
3729,OAK,24.5000,2014
3730,JAC,25.1875,2014
3730,PHI,34.3333,2014
3731,CLE,24.3333,2014
3731,PIT,21.8462,2014
3732,BAL,23.2500,2014
3732,CIN,33.5000,2014
3733,HOU,20.5000,2014
3733,WAS,20.1818,2014
3734,DAL,18.0000,2014
3734,SF,35.2222,2014
3735,CAR,32.0909,2014
3735,TB,24.2727,2014
3736,DEN,24.8333,2014
3736,IND,29.2500,2014
3737,DET,37.2727,2014
3737,NYG,22.9000,2014
3738,ARI,25.1667,2014
3738,SD,32.6364,2014
3739,BAL,30.9000,2014
3739,PIT,23.2222,2014
3740,BUF,43.3333,2014
3740,MIA,20.8333,2014
3741,ATL,23.1818,2014
3741,CIN,31.9167,2014
3742,CLE,24.0000,2014
3742,NO,19.8000,2014
3743,DAL,27.9091,2014
3743,TEN,20.5455,2014
3744,MIN,20.2308,2014
3744,NE,42.0909,2014
3745,ARI,33.0000,2014
3745,NYG,18.7000,2014
3746,JAC,23.8333,2014
3746,WAS,38.0769,2014
3747,CAR,29.2308,2014
3747,DET,26.7273,2014
3748,SD,36.7000,2014
3748,SEA,23.0000,2014
3749,STL,23.7500,2014
3749,TB,27.2222,2014
3750,DEN,20.3750,2014
3750,KC,24.7500,2014
3751,GB,23.5000,2014
3751,NYJ,30.4167,2014
3752,HOU,44.0000,2014
3752,OAK,20.3000,2014
3753,CHI,30.8182,2014
3753,SF,34.5455,2014
3754,IND,23.9167,2014
3754,PHI,26.8333,2014
3755,ATL,33.5833,2014
3755,TB,24.5000,2014
3756,BUF,19.4545,2014
3756,SD,26.0000,2014
3757,CIN,35.2500,2014
3757,TEN,23.0000,2014
3758,BAL,26.5000,2014
3758,CLE,25.5000,2014
3759,DET,23.5556,2014
3759,GB,20.3333,2014
3760,DAL,23.3000,2014
3760,STL,22.1000,2014
3761,NE,24.2000,2014
3761,OAK,24.4444,2014
3762,MIN,21.6250,2014
3762,NO,18.0000,2014
3763,HOU,21.0000,2014
3763,NYG,39.6154,2014
3764,PHI,30.8333,2014
3764,WAS,26.0000,2014
3765,IND,27.8182,2014
3765,JAC,17.1667,2014
3766,ARI,26.6250,2014
3766,SF,18.0000,2014
