Team,Year,ResponsiveRev,TicketRevFB,ContribsFB,ConcessFB,SponsFB,CampsFB
Mississippi State,2013,10369598,9144985,0,1036613,0,188000
Mississippi State,2014,25010172,9955405,13942877,830210,139901,141779
Missouri,2010,17443619,13642669,2021069,1581987,0,197894
Missouri,2011,16291266,12842594,1865387,1281054,0,302231
Missouri,2012,15144154,12255691,1293282,1328933,0,266248
Missouri,2013,18234939,14982431,1391833,1575478,0,285197
Missouri,2014,39650824,17554536,20113654,1688746,0,293888
Nebraska,2010,37775466,27245648,1599512,3460983,5469323,0
Nebraska,2011,40002974,27378667,3192716,3727516,5704075,0
Nebraska,2012,40947019,28184432,2888751,3664159,6209677,0
Nebraska,2013,40859844,28214545,1946294,4399884,6299121,0
Nebraska,2014,57611226,34121726,11833760,4974461,6681279,0
Nevada,2010,3021345,1469209,555603,287937,708596,0
Nevada,2011,4002568,2541452,420917,320928,719271,0
Nevada,2012,2553094,1805045,513079,234970,0,0
Nevada,2013,3630576,2177773,1131702,321101,0,0
Nevada,2014,7937643,2760103,4948145,229395,0,0
New Mexico,2010,2017844,1882262,135582,0,0,0
New Mexico,2011,1386794,1367349,19445,0,0,0
New Mexico,2012,1663831,1336662,327169,0,0,0
New Mexico,2013,1652547,1652547,0,0,0,0
New Mexico,2014,11371825,1521488,9850337,0,0,0
New Mexico State,2010,875199,829207,21169,0,24823,0
New Mexico State,2011,887298,736237,135957,0,15104,0
New Mexico State,2012,938495,801451,136892,152,0,0
New Mexico State,2013,651015,567417,83598,0,0,0
New Mexico State,2014,1844693,808420,1035973,300,0,0
North Carolina,2010,15168064,11047959,3249918,863951,0,6236
North Carolina,2011,16551179,10349441,5435721,761729,0,4288
North Carolina,2012,15905593,11058674,4060870,786049,0,0
North Carolina,2013,16948395,11103737,5041046,803612,0,0
North Carolina,2014,29413682,10379939,18234593,799150,0,0
North Carolina State,2010,17019274,12809026,2373223,1832615,0,4410
North Carolina State,2011,19352627,14388239,3177907,1786481,0,0
North Carolina State,2012,17448103,12328758,3219420,1893526,0,6399
North Carolina State,2013,18474953,12631710,3550930,1888773,400000,3540
North Carolina State,2014,27161306,13867570,10824170,2039175,425000,5391
North Texas,2010,619975,458410,45633,94160,0,21772
North Texas,2011,932831,571125,217035,111163,0,33508
North Texas,2012,2378781,1326340,613444,392427,0,46570
North Texas,2013,2315612,903242,1047495,282479,0,82396
North Texas,2014,3585136,1096126,1909037,420484,84100,75389
Northern Illinois,2010,1021866.93,785358,149433.92,76500.01,0,10575
Northern Illinois,2011,1091756.84,735134,251031.11,73346.73,0,32245
Northern Illinois,2012,2050130.05,1698752.68,223921.44,73653.93,0,53802
Northern Illinois,2013,2478192.93,2110216,232310.62,67231.31,0,68435
Northern Illinois,2014,2888602.4,1004655,1724111.19,88366.21,0,71470
Ohio,2010,617934,456970,111475,32499,0,16990
Ohio,2011,1363476,420715,900000,7584,0,35177
Ohio,2012,601490,490015,57431,25830,0,28214
Ohio,2013,839322,637533,131889,38921,0,30979
Ohio,2014,3277670,837317,2337759,62851,0,39743
Ohio State,2010,37926797,34106228,152210,3062402,0,605957
Ohio State,2011,61772364,41885216,15123907,3860762,325000,577479
