Survey Year,Institution Name,Classification Name,Football Total Revenue,Not Allocated by Gender/Sport Revenue,Grand Total Revenue
2004,UNIVERSITY OF MARYLAND-COLLEGE PARK,NCAA Division I-A,9290976,26310418,46283648
2004,University of Massachusetts-Amherst,NCAA Division I-AA,429705,17558384,19344591
2004,University of Memphis,NCAA Division I-A,4621399,13762351,24289378
2004,University of Miami,NCAA Division I-A,17195807,16627210,39755862
2004,University of Michigan-Ann Arbor,NCAA Division I-A,46396107,20643110,78424186
2004,University of Minnesota-Twin Cities,NCAA Division I-A,15274930,16820794,51721017
2004,University of Mississippi Main Campus,NCAA Division I-A,15958445,8734457,28721832
2004,University of Missouri-Columbia,NCAA Division I-A,15907400,22606381,46812604
2004,University of Nebraska at Lincoln,NCAA Division I-A,20671989,30712972,55876334
2004,University of Nevada-Las Vegas,NCAA Division I-A,2597623,15076845,22967557
2004,University of Nevada-Reno,NCAA Division I-A,2471430,12193388,18297975
2004,University of New Mexico-Main Campus,NCAA Division I-A,6875650,147420,18829053
2004,University of North Carolina at Chapel Hill,NCAA Division I-A,17332920,11167228,49095212
2004,University of North Carolina at Charlotte,NCAA Division I-AAA,,6842419,9183194
2004,University of North Texas,NCAA Division I-A,1430676,12537776,14214129
2004,University of Notre Dame,NCAA Division I-A,41754817,10533956,57649586
2004,University of Oklahoma Norman Campus,NCAA Division I-A,32275608,23437687,63382024
2004,University of Oregon,NCAA Division I-A,16849754,16981847,40107833
2004,University of Pittsburgh-Main Campus,NCAA Division I-A,19291555,6356735,34084519
2004,University of South Alabama,NCAA Division I-AAA,,2095929,6498327
2004,University of South Carolina-Columbia,NCAA Division I-A,19224526,10991496,43016222
2004,University of South Florida,NCAA Division I-A,5293997,12486977,20331758
2004,University of Southern California,NCAA Division I-A,29266694,27527796,60732435
2004,University of Southern Mississippi,NCAA Division I-A,4969368,11092463,18246484
2004,University of Toledo-Main Campus,NCAA Division I-A,1424249,13402180,15314190
2004,University of Tulsa,NCAA Division I-A,4034571,5604476,15960339
2004,University of Utah,NCAA Division I-A,11067081,7895402,25180145
2004,University of Virginia-Main Campus,NCAA Division I-A,17304145,29267456,62316665
2004,University of Washington-Seattle Campus,NCAA Division I-A,27100356,6508830,43197964
2004,University of Wisconsin-Madison,NCAA Division I-A,34105659,18485289,75293898
2004,University of Wyoming,NCAA Division I-A,7501957,6616528,20344272
2004,Utah State University,NCAA Division I-A,1867704,7561635,10390546
2004,Vanderbilt University,NCAA Division I-A,14453560,13263102,36614639
2004,Virginia Polytechnic Institute and State University,NCAA Division I-A,25263319,10692762,45675485
2004,Wake Forest University,NCAA Division I-A,7226136,15587277,31633529
2004,Washington State University,NCAA Division I-A,9904767,12076238,26221008
2004,West Virginia University,NCAA Division I-A,17170945,12724916,35853722
2004,Western Kentucky University,NCAA Division I-AA,2577459,11863649,21194852
2004,Western Michigan University,NCAA Division I-A,1535550,13907729,16581810
2005,Appalachian State University,NCAA Division I-AA,4069038,756649,9168623
2005,Arizona State University at the Tempe Campus,NCAA Division I-A,24714123,16372611,48364856
2005,Arkansas State University-Main Campus,NCAA Division I-A,1829277,7591986,10083426
2005,Auburn University Main Campus,NCAA Division I-A,51598921,11051697,68306253
2005,Ball State University,NCAA Division I-A,1679525,11941118,14538840
2005,Baylor University,NCAA Division I-A,7812122,15524525,36228960
2005,Boise State University,NCAA Division I-A,8542522,3937350,19253389
2005,Boston College,NCAA Division I-A,16496426,17197361,53191260
2005,Bowling Green State University-Main Campus,NCAA Division I-A,1957598,14219085,17615851
2005,Brigham Young University,NCAA Division I-A,10493561,12438885,30847127
2005,California State University-Fresno,NCAA Division I-A,8389539,13539214,25673927
2005,Central Michigan University,NCAA Division I-A,1444040,14150715,17760582
2005,Clemson University,NCAA Division I-A,24286331,11222608,46175454
2005,Colorado State University,NCAA Division I-A,4305754,12237836,18178073
2005,Duke University,NCAA Division I-A,8381452,28749477,50506485
2005,East Carolina University,NCAA Division I-A,4246064,15725239,21652796
2005,Eastern Michigan University,NCAA Division I-A,2799969,5432688,16970338
2005,Elon University,NCAA Division I-AA,1764164,5730914,10166372
2005,Florida Atlantic University,NCAA Division I-A,2511220,7988701,13463588
2005,Florida International University,NCAA Division I-A,5636102,5365425,15996359
2005,Florida State University,NCAA Division I-A,20449768,11810693,40851031
2005,Georgia Institute of Technology-Main Campus,NCAA Division I-A,9953347,27816828,44371871
2005,Georgia Southern University,NCAA Division I-AA,660182,7408039,9274427
2005,Georgia State University,NCAA Division I-AAA,,5084623,7227550
2005,Indiana University-Bloomington,NCAA Division I-A,15389777,12853221,39526047
2005,Iowa State University,NCAA Division I-A,13820271,9333782,32541235
2005,Kansas State University,NCAA Division I-A,18771501,19302208,43411343
2005,Kent State University-Kent Campus,NCAA Division I-A,824272,14454519,15859390
2005,Louisiana State University and Agricultural & Mechanical College,NCAA Division I-A,39528895,16455813,64899170
2005,Louisiana Tech University,NCAA Division I-A,2187733,6186460,10075316
2005,Marshall University,NCAA Division I-A,6482008,6428187,17946484
2005,Miami University-Oxford,NCAA Division I-A,4225044,6294861,20517403
2005,Michigan State University,NCAA Division I-A,33585383,14257626,66749084
2005,Middle Tennessee State University,NCAA Division I-A,4750866,4582340,15267192
2005,Mississippi State University,NCAA Division I-A,12741470,7319004,25838699
2005,New Mexico State University-Main Campus,NCAA Division I-A,3242500,5245396,12784996
2005,North Carolina State University at Raleigh,NCAA Division I-A,15300451,9169102,39007082
2005,Northern Illinois University,NCAA Division I-A,2265844,11194235,14984007
2005,Northwestern University,NCAA Division I-A,17098685,13624459,38276876
2005,Ohio State University-Main Campus,NCAA Division I-A,60773537,25744173,104704852
2005,Ohio University-Main Campus,NCAA Division I-A,2353407,10546852,16704043
2005,Oklahoma State University-Main Campus,NCAA Division I-A,16917935,15832116,53641925
2005,Old Dominion University,NCAA Division I-AAA,,12153682,15035087
2005,Oregon State University,NCAA Division I-A,23915841,8117784,37948013
2005,Pennsylvania State University-Main Campus,NCAA Division I-A,40555791,17501873,70513770
2005,Purdue University-Main Campus,NCAA Division I-A,22192457,13534687,50182701
2005,Rice University,NCAA Division I-A,5752317,14107061,26359318
2005,Rutgers University-New Brunswick/Piscataway,NCAA Division I-A,13065630,12057200,41003526
2005,San Diego State University,NCAA Division I-A,5663041,19609745,31144430
2005,San Jose State University,NCAA Division I-A,949214,15782081,17188520
2005,Southern Methodist University,NCAA Division I-A,10710092,6965278,32659232
2005,Stanford University,NCAA Division I-A,11500898,38328286,60704406
2005,SUNY at Buffalo,NCAA Division I-A,670647,16930920,18315999
2005,Syracuse University,NCAA Division I-A,19054865,3244001,47927536
2005,Temple University,NCAA Division I-A,8870577,5271406,25819093
