team,year,srs,lagged_srs,stateunemp,stadium_cap,num_homegames,coach_experience,conf_coy,nat_coy,new_coach
oklahomastate,2013,16.83,13.5,5.283333333,"60,218",6,8,1,1,0
oklahomastate,2014,1.1,16.83,4.508333333,"60,218",7,9,1,1,0
olemiss,2010,-1.83,11.5,10.35833333,60580,7,13,1,0,0
olemiss,2011,-6.71,-1.83,9.983333333,60580,7,14,1,0,0
olemiss,2012,8.43,-6.71,9,60580,8,1,1,0,1
olemiss,2013,10.42,8.43,8.533333333,"60,580",7,2,1,0,0
olemiss,2014,16.8,10.42,7.5,"60,580",7,3,1,0,0
oregon,2010,21.54,15.48,10.60833333,54000,6,1,1,1,0
oregon,2011,18.8,21.54,9.5,54000,7,2,1,1,0
oregon,2012,23.43,18.8,8.825,54000,7,3,1,1,0
oregon,2013,21.27,23.43,7.875,"54,000",7,0,0,0,1
oregon,2014,22.22,21.27,6.775,"54,000",7,1,0,0,0
oregonstate,2010,7.6,8.47,10.60833333,45674,6,9,1,0,0
oregonstate,2011,-4.33,7.6,9.5,45674,6,10,1,0,0
oregonstate,2012,12.14,-4.33,8.825,45674,7,11,1,0,0
oregonstate,2013,8.11,12.14,7.875,"45,674",6,12,1,0,0
oregonstate,2014,-1.42,8.11,6.775,"45,674",7,13,1,0,0
pennstate,2010,2.96,13.86,8.433333333,107282,7,45,1,1,0
pennstate,2011,6.47,2.96,7.925,106572,7,46,1,1,0
pennstate,2012,9.7,6.47,7.825,107282,7,0,1,0,1
pennstate,2013,3.4,9.7,7.341666667,"107,282",7,1,1,0,0
pennstate,2014,2.46,3.4,5.875,"107,282",7,3,0,0,1
purdue,2010,-5.18,0.79,10.34166667,62500,7,1,0,0,0
purdue,2011,-0.76,-5.18,9.108333333,62500,7,2,0,0,0
purdue,2012,-1.58,-0.76,8.35,62500,7,3,0,0,0
purdue,2013,-12.43,-1.58,7.633333333,"62,500",7,2,1,0,1
purdue,2014,-6.33,-12.43,5.958333333,"62,500",7,3,1,0,0
rutgers,2010,-6.76,6.34,9.533333333,52454,7,9,1,1,0
rutgers,2011,6.42,-6.76,9.341666667,52454,7,10,1,1,0
rutgers,2012,3.91,6.42,9.333333333,52454,6,0,1,0,1
rutgers,2013,-5.68,3.91,8.241666667,"52,454",7,1,1,0,0
rutgers,2014,3.19,-5.68,6.741666667,"52,454",6,2,1,0,0
sandiegostate,2010,6.07,-7.79,12.225,51000,6,7,1,0,0
sandiegostate,2011,-0.02,6.07,11.70833333,51000,7,11,1,0,1
sandiegostate,2012,2.69,-0.02,10.375,51000,7,12,1,0,0
sandiegostate,2013,-4.68,2.69,8.941666667,"51,000",6,13,1,0,0
sandiegostate,2014,-2.1,-4.68,7.5,"51,000",6,14,1,0,0
southcarolina,2010,12.97,7.1,11.13333333,80250,7,20,1,0,0
southcarolina,2011,13.56,12.97,10.54166667,80250,7,21,1,0,0
southcarolina,2012,15.97,13.56,9.2,80250,7,22,1,0,0
southcarolina,2013,16.06,15.97,7.616666667,"80,250",7,23,1,0,0
southcarolina,2014,6.7,16.06,6.45,"80,250",7,24,1,0,0
southernmiss,2010,1.79,-0.67,10.35833333,36000,6,2,0,0,0
southernmiss,2011,9.18,1.79,9.983333333,36000,6,3,0,0,0
