Program,Year,ResponsiveRev,TwoStars,ThreeStars,FourStars,FiveStars,srs,lagged_srs,stateunemp,stadium_cap,stadium_years_open,stadium_years_rennovation,num_homegames,coach_experience,conf_coy,nat_coy,coach_years_at_school,new_coach,pop/d1prog,hs_grad_pct,pro_team_per_million,spring_practice,num_jcs,power
Georgia,2010,49970870,4,31,48,3,6.35,9.06,10.49,92746,81,7,6,9,1,0,9,0,4856348,87.43,0.308874076,1,1,1
Georgia,2011,53433736,4,32,48,5,10.67,6.35,10.23,92746,82,8,7,10,1,0,10,0,4905297.5,86.2,0.305791851,1,1,1
Georgia,2012,54528959,4,34,41,5,17.93,10.67,9.19,92746,83,9,7,11,1,0,11,0,4955585.5,86.82,0.302688754,1,1,1
Georgia,2013,57168810,3,47,43,4,12.82,17.93,8.2,92746,84,10,6,12,1,0,12,0,3327257.667,87.11,0.300547808,1,1,1
Georgia,2014,60437055,3,45,46,5,18.84,12.82,7.1,92746,85,11,7,13,1,0,13,0,2520962.5,87.15,0.297505417,1,1,1
Georgia Tech,2010,17395259,15,50,15,0,0.8,13.54,10.49,55000,97,7,6,9,1,0,2,0,4856348,87.43,0.308874076,1,1,1
Georgia Tech,2011,15437370,17,58,8,0,3.4,0.8,10.23,55000,98,8,7,10,1,0,3,0,4905297.5,86.2,0.305791851,1,1,1
Georgia Tech,2012,19522921,11,60,9,0,5.18,3.4,9.19,55000,99,9,7,11,1,0,4,0,4955585.5,86.82,0.302688754,1,1,1
Georgia Tech,2013,14657752,12,53,8,0,7.21,5.18,8.2,55000,100,10,7,12,1,0,5,0,3327257.667,87.11,0.300547808,1,1,1
Georgia Tech,2014,27353669,13,59,4,0,15.92,7.21,7.1,55000,101,11,6,13,1,0,6,0,2520962.5,87.15,0.297505417,1,1,1
Houston,2010,3283144,62,40,3,0,-2.11,4.21,8.13,32000,69,4,6,2,1,0,2,0,2804627.556,86.67,0.316936517,1,6,0
Houston,2011,3401818,46,49,3,0,11.94,-2.11,7.76,32000,70,5,7,3,1,0,3,0,2849380.444,82.5,0.311958654,1,6,0
Houston,2012,5159892,34,61,4,0,-5.54,11.94,6.74,32000,71,6,7,0,0,0,0,1,2370757,82.62,0.306768145,1,6,0
Houston,2013,3780784,29,68,3,0,4.93,-5.54,6.25,32000,72,7,7,1,0,0,1,0,2407207.182,83.13,0.30212303,1,6,0
Houston,2014,8639184,46,52,1,0,0.85,4.93,5.11,40000,0,0,7,2,0,0,2,0,2450403.273,83.37,0.296797158,1,6,0
Illinois,2010,15331781,26,47,19,2,7.77,-3.67,10.37,62870,87,2,6,8,1,0,5,0,4280398.667,91.42,0.389371831,1,1,1
Illinois,2011,15008001,27,56,15,0,2.63,7.77,9.69,60670,88,3,8,9,1,0,6,0,4287432.667,89.1,0.388733024,1,1,1
Illinois,2012,18486263,26,54,9,0,-10.35,2.63,8.99,62870,89,4,7,3,0,0,0,1,4292831.333,89.45,0.388244153,1,1,1
Illinois,2013,15401398,28,60,4,0,-3.86,-10.35,9.04,62870,90,0,7,4,0,0,1,0,4296801,89.37,0.387885468,1,1,1
Illinois,2014,28688942,27,59,3,0,-2.53,-3.86,7.1,60670,91,1,7,5,0,0,2,0,4294146,89.73,0.388125291,1,1,1
Indiana,2010,6988615,50,34,0,0,-4.49,-5.75,10.34,52692,50,1,6,11,0,0,3,0,1622507.25,88.59,0.308165033,0,0,1
Indiana,2011,6084414,44,42,1,0,-10.91,-4.49,9.11,52929,51,2,6,0,0,0,0,1,1628839.5,89,0.306967015,0,0,1
Indiana,2012,6181441,37,54,1,0,-5.53,-10.91,8.35,52692,52,3,6,1,0,0,1,0,1633916.25,89.24,0.306013237,0,0,1
Indiana,2013,6842940,37,51,5,0,4.41,-5.53,7.63,52692,53,4,8,2,0,0,2,0,1641871,89.21,0.304530624,0,0,1
Indiana,2014,25542918,31,56,7,0,-5.32,4.41,5.96,52692,54,5,6,3,0,0,3,0,1648295.5,89.73,0.303343666,0,0,1
Iowa,2010,35140285,36,42,11,0,10.15,10.26,6.01,70585,81,4,7,11,1,1,11,0,1525111.5,93.18,0,0,3,1
Iowa,2011,31318039,35,47,10,0,4.38,10.15,5.53,70585,82,5,7,12,1,1,12,0,1531845,92.7,0,0,3,1
Iowa,2012,34543227,28,49,14,0,-2.62,4.38,5.03,70585,83,6,7,13,1,1,13,0,1537193,93.22,0,0,3,1
Iowa,2013,39690469,20,61,12,0,7.31,-2.62,4.73,70585,84,7,7,14,1,1,14,0,1544938,92.97,0,0,3,1
Iowa,2014,25355079,22,59,10,0,1.37,7.31,4.24,70585,85,8,7,15,1,1,15,0,1552781.5,93.43,0,0,3,1
Iowa State,2010,11188287,54,44,5,0,0.43,-0.96,6.01,55000,35,3,7,1,0,0,1,0,1525111.5,93.18,0,0,3,1
Iowa State,2011,11992752,48,50,4,0,2.12,0.43,5.53,55000,36,4,6,2,0,0,2,0,1531845,92.7,0,0,3,1
Iowa State,2012,13116611,36,59,3,0,5.4,2.12,5.03,55000,37,5,7,3,0,0,3,0,1537193,93.22,0,0,3,1
Iowa State,2013,13683254,36,59,3,0,-3.57,5.4,4.73,55000,38,6,6,4,0,0,4,0,1544938,92.97,0,0,3,1
Iowa State,2014,28774274,39,54,2,0,-8.64,-3.57,4.24,56800,39,7,7,5,0,0,5,0,1552781.5,93.43,0,0,3,1
